#,type,is_trade,freq,day_count,ticker,ric_leg2,roll_rules,tcost,country,settle_d,freq_leg2,ric,ric_root,src,tenor,ccy,roll_conv,fix_cal,calc_cal,_update,curve_name,reset,fpml,roll,lag,pms_index,is_inverted,multiplier,cal
1290,IMM,0,1,Act/360,SFS00140 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS2=TWEB,CHFOISSS2=TWEB,TWEB,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1291,IMM,0,1,Act/360,SFS00140 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS2=YIN,CHFOISSS2=YIN,YIN-L,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1292,IMM,0,1,Act/360,SFS00048 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS1=,CHFOISSS1=,TR,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1293,IMM,0,1,Act/360,SFS00048 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS1=TWEB,CHFOISSS1=TWEB,TWEB,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1294,IMM,0,1,Act/360,SFS00048 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS1=YIN,CHFOISSS1=YIN,YIN-L,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1295,IMM,0,1,Act/360,SFS00148 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS2=,CHFOISSS2=,TR,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1296,IMM,0,1,Act/360,SFS00148 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS2=TWEB,CHFOISSS2=TWEB,TWEB,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1297,IMM,0,1,Act/360,SFS00148 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS12YS2=YIN,CHFOISSS2=YIN,YIN-L,12Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1298,IMM,0,1,Act/360,SFS00060 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS1=,CHFOISSS1=,TR,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1299,IMM,0,1,Act/360,SFS00060 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS1=TWEB,CHFOISSS1=TWEB,TWEB,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1300,IMM,0,1,Act/360,SFS00060 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS15YS1=YIN,CHFOISSS1=YIN,YIN-L,15Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
