#,ticker_1,ticker_root,ric_root,mic_exch,ccy,contract_size,tick_size,spread_tick_size,tick_value,r2b_mul,ex_root,bb_exch,tr_exch,type,sub_type,country,cdr_exch,underlying,region,liquid_contracts,roll_conversion,roll_rules,risk_class,is_trade,gen,cftc,cc_mic,session,sub_type_2,sub_type_1,sub_type_0,is_trade_prod,is_qc,start_date,end_date,dynamic_roll
194,RSWA Index,RSW,FMWN,XEUR,EUR,100,0.05,,5,1,FMWN,EUX,EUX,Index,Physical index future.,DE,DT,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2014-03-03,,0
195,AFA Index,AF,NBN,XNSE,INR,20,0.05,,1,1,BANKNIFTY,NSE,,Index,Physical index future.,IN,II,,asia,FGHJKMNQUVXZ,1,1;0;0,,0,3,,XNSE,"",Equity Index,Equity Index,Equity Index,0,0,2005-06-13,,0
196,KMSA Index,KMS,MKS2,XKFE,KRW,50000,0.02,,1000,1,05,KFE,,Index,Physical index future.,KR,K3,,asia,FGHJKMNQUVXZ,1,1;0;0,,0,3,,XKFE,"",Equity Index,Equity Index,Equity Index,0,0,2015-07-20,,0
197,ZRPA Index,ZRP,FMEU,XEUR,EUR,100,0.05,,5,1,FMEU,EUX,EUX,Index,Physical index future.,DE,GE,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2013-03-11,,0
198,MWOA Index,MWO,MCNlf,IFLL,USD,10,1,,10,1,MCN,ICF,,Index,Physical index future.,GB,IP,,euro,HMUZ,1,2;0;0,,0,3,,IFLL,"",Equity Index,Equity Index,Equity Index,0,0,2009-02-16,,0
199,MMEA Index,MME,MCQlf,IFLL,USD,100,0.001,,0.1,1,MCQ,ICF,,Index,Physical index future.,GB,IP,,euro,HMUZ,1,2;0;0,,0,3,,IFLL,"",Equity Index,Equity Index,Equity Index,0,0,2009-02-24,,0
200,ZWLA Index,ZWL,FMZA,XEUR,USD,100,0.1,,10,1,FMZA,EUX,EUX,Index,Physical index future.,DE,DT,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2013-07-01,,0
201,VHOA Index,VHO,TESX,XEUR,EUR,10,0.5,,5,1,TESX,EUX,EUX,Index,Physical index future.,DE,DT,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2016-12-02,,0
202,SCAA Index,SCA,MCRlf,IFLL,USD,100,0.001,,0.1,1,MCR,ICF,,Index,Physical index future.,GB,IP,,euro,HMUZ,1,2;0;0,,0,3,,IFLL,"",Equity Index,Equity Index,Equity Index,0,0,2010-07-14,,0
203,TWTA Index,TWT,STWN,XSIM,USD,40,0.25,0.25,10,1,TWN,SGX,SIM,Index,Physical index future.,SG,SG,.FTFTCRTWNT,asia,FGHJKMNQUVXZ,1,1;0;0,,1,3,,XTAF,PIT,Equity Index,Equity Index,Equity Index,1,1,2020-07-20,,0
204,FVSA Index,FVS,FVS,XEUR,EUR,100,0.05,,5,1,FVS,EUX,EUX,Index,yint vol index future.,DE,DT,.V2TX,euro,FGHJKMNQUVXZ,-1,2;0;0,,1,6,,XEUR,"",Vol Index,Vol Index,Vol Index,1,1,2009-06-02,,0
205,MCY1 Index,MCY,HMCA,XHKF,USD,25,0.2,0.2,5,1,MCY,HKG,HFE,Index,Physical index future.,HK,HO,.MICN0A5C0PCY,namr,FGHJKMNQUVXZ,1,1;0;0,,1,3,,XHKF,PIT,Equity Index,Equity Index,Equity Index,1,1,2021-10-18,,0
